Judge,Rejected,Accepted
Якімець Г.Г.,27,10
Г.В. Орищин,33,14
Б.Д. Плотніцький,12,7
Маціщук А.В.,14,6
,822,58
П.В. Тихий,25,0
Е.В.Орєшкіна,9,0
О.В. Шевель,18,0
О.І. Терещенко,28,0
М.О. Дармін,15,17
А.Є. Чередко,27,3
О. О. Андрусенко ,3,0
Жук А.В.,16,0
Осташ А.В.,24,0
І.С. Козачок,93,0
Рим Т.Я.,1,0
В.В. Мельник,87,20
Моніч Б.С.,1,0
З. М. Матковська,2,0
Р.  В.  Бакланов,4,0
Н.Л.Яковенко ,15,0
М.С. Гончар,39,0
Скрипчук О.С.,8,2
О.В. Зварич,12,7
О.В. Зварич ,8,9
Скрипчук О.С. ,6,1
О.І. Матущак,23,3
А.О. Мальченко,113,17
С.В.  Сотніков,56,11
І.М.  Скрипка,51,21
С.Я. Дикунська,130,19
О.І. Склярук,38,0
В.О.  Пантелієнко,38,11
О.В.  Агрикова,83,36
ОСОБА_1 ,1,0
Бучинська Г.Б.,16,1
Огороднік К.М.,13,0
Гудак А.В.,27,0
О.А. Пуль,21,0
Н.Б.Плахтій,19,0
О. О. Андрусенко,11,0
І.С. Шевяков,13,0
Баб'юк П.М.,20,0
Подлісна І.М.,33,0
Мартиць О.І.,25,0
Мірінович У.А.,18,0
Ю.Б. Парусніков,14,8
Т.А. Азізбекян,4,0
Р.В. Волков,5,0
О.П. Шевчук,178,0
В.К. Блонський,154,0
О.К. Ковальчук,82,0
Г.В. Лабань,145,0
Т.С. Прокопчук,96,20
Л.В. Губська,1,0
Р. Й. Коваль,2,0
Я. С. Попко,1,0
Ю. В. Гречко,18,0
А. В. Твердохліб,3,0
М. А. Пліш,2,0
І.В.Боброва,34,0
М. Б. Тітов,20,0
ОСОБА_3,98,0
  ОСОБА_4,7,0
ОСОБА_6,27,0
  ОСОБА_3,28,0
  ОСОБА_5,6,0
Н.О. Денисенко,2,0
Л.В.Губська,24,0
С. М. Кузьмич,3,0
В. Я. Макарик,2,0
Бойко Г.В.,5,0
С.І. Мурашко,26,0
ОСОБА_5,39,0
П.П. Гуменний,10,0
М.С. Гончар,8,0
Гончар М.С.,46,0
Г.М. Міронова,84,0
Т.Б. Бонк,9,0
Т.Б.Бонк,3,6
Т.Б. Бонк ,9,4
С.М. Бойко,4,0
Л.В. Ястребова,136,0
О.О.Шишов,1,0
Кордюк Г.Т.,42,0
Галушко Н.А,5,0
О.І. Матущак ,9,0
Галушко Н.А. ,8,0
Ю.Л. Власов,15,0
А.А.  Верховець,43,12
Ю.Б.Михальська,95,30
Філіпова Т.Л.,21,0
Савченко Г.І.,13,0
Олексюк Г.Є.,11,0
Т.Д. Геза,7,0
В.В. Россолов,23,0
М.М. Слободін,32,0
В.І. Пушай,16,0
Е.В. Орєшкіна ,0,3
О.М. Шилова ,1,0
Фрич М. М. ,1,0
Запотічняк О.Д. ,1,0
Киричук О.А.,3,0
В.Л. Котельницька,3,0
Т.В. Смішлива,3,0
ОСОБА_4,41,0
ОСОБА_1,23,0
Подлісна І.М. ,11,0
Мандзій О.П.,36,0
І.І. Тарновецький,41,0
П.М. Майстер,74,0
А. В. Твердохліб ,17,0
Я.В. Семененко,75,2
С.В. Білак,83,24
І.О.Лічевецький,97,0
Є.І. Мєзєнцев,2,0
О.М. Панченко,18,0
Л.А. Коваль,41,8
Я. С. Попко,1,0
