Гаврищук Тетяна Григорівна,3927
Геращенко Ігор Володимирович,3746
Блохін Анатолій Андрійович,3641
Ястребова Любов Вікторівна,3444
Ханова Р.Ф.,3284
Арабей Тетяна Георгіївна,3256
Гімон М.М.,3192
Міронова Галина Михайлівна,3075
Юрченко В.П.,2987
Олендер І.Я.,2895
Лічевецький Ігор Олександрович,2892
Сіваченко Ігор Вікторович,2885
Берназюк Я.О.,2865
Саржевська І. В.,2704
Компанієць Ірина Дмитрівна,2704
Шипуліна Т.М.,2704
Гончарова І.А.,2645
Фастовець В. М.,2588
Казначеєв Едуард Геннадійович,2557
Хохуляк В.В.,2542
Іванчук В. М.,2540
Усатий В.О.,2510
Попова Оксана Гнатівна,2500
Епель Оксана Володимирівна,2497
Ус О. В.,2484
Федулеєва Ю. О.,2478
Пащенко К.С.,2450
Кучма Андрій Юрійович,2409
Кузьменко Володимир Володимирович,2388
Слюсар Л. П.,2388
Бившева Л.І.,2359
Мельничук Володимир Петрович,2324
Бегунц А.О.,2319
Шурко Олег Іванович,2314
Чаку Євген Васильович,2304
Садовський К. С.,2264
Татаринов Дмитро Вікторович,2260
Пилипенко Олена Євгеніївна,2252
Карпин І. М.,2247
Василенко Ярослав Миколайович,2245
Вєкуа Н.Г.,2238
Кондратьєва Н. А.,2230
Мельнікова Л.В.,2229
Колесник С. А.,2222
Примак Сергій Анатолійович,2219
Желтобрюх І.Л.,2209
Васильєва І.А.,2205
Аліменко Володимир Олександрович,2193
Сацький Роман Вікторович,2192
Чаплицький В. В.,2185
Карпушова Олена Віталіївна,2179
Вівдиченко Тетяна Романівна,2176
Степанюк Анатолій Германович,2162
Кононенко З.О.,2155
Волошин В. О.,2139
Федотов Ігор В'ячеславович,2138
Кузнецов Р. О.,2138
Чеберяк П.П.,2121
Білоус О.В.,2119
Ключкович Василь Юрійович,2119
Калиновський В.А.,2119
Прасов Олександр Олександрович,2104
Коваленко Н.В.,2091
Пасічник С.С.,2086
Кравчук В.М.,2079
Парінов Андрій Борисович,2071
Баркова Н. В.,2068
Муратова С. О.,2067
Губська Людмила Вікторівна,2062
Єфіменко Ольга Володимирівна,2057
Файдюк Віталій Васильович,2055
Собків Ярослав Мар'янович,2049
Хвостик С. Г.,2042
Донець В.А.,2034
Григоров А.М.,2032
Земляна Галина Володимирівна,2014
Владимиренко Ігор Вячеславович,2011
Спаскін О.А.,2004
Донець Л.О.,1999
Кононенко О. Ю.,1995
Бартош Н.С.,1984
Домусчі Л. В.,1982
Ганечко Олена Миколаївна,1976
Левченко Т. А.,1976
Подобайло З.Г.,1959
Ральченко І.М.,1956
Чишій С. С.,1945
Беспалов Олександр Олександрович,1944
Криворотенко В. І.,1943
Бенедик А.П.,1941
Сіпака Андрій Васильович,1939
Нестеренко С. Г.,1936
Прийомова О. Ю.,1928
Бужак Наталія Петрівна,1924
Ніколенко Д. М.,1912
Камбул М. О.,1905
Гайдар Андрій Володимирович,1902
Каліуш О. В.,1896
Єрмоленко В. Б.,1883
Бєлостоцька О. В.,1876
Безименна Наталія Вікторівна,1874
Присяжнюк О.В.,1873
Сарат Н. О.,1862
Чалий А. В.,1858
Любчич Л.В.,1857
Бєлова Людмила Василівна,1845
Євстигнеєва Надія Михайлівна,1842
Бучик А.Ю.,1832
Батрин О. В.,1829
Максименко Лілія Яковлівна,1824
Стародуб О.П.,1824
Костюк Любов Олександрівна,1822
Тонконоженко М. М.,1822
Коваль С.М.,1817
Науменко Я. О.,1814
Собина О. І.,1806
Черняхович Ірина Едуардівна,1804
Мавродієва М.В.,1803
Катунов В.В.,1800
Комшелюк Т.О.,1799
Панченко О.В.,1799
Осаулов А. А.,1798
Перцова Т.С.,1793
Гусак М.Б.,1793
Кравцова А. В.,1787
Кузьменко А.І.,1784
Лазаренко Максим Сергійович,1777
Недашківська К.М.,1765
Мартиненко В. С.,1764
Келеберда В.І.,1758
Попов В. В.,1757
Амельохін В.В.,1751
Сорочко Євген Олександрович,1749
Сагайдак В.В.,1748
Білак С.В.,1746
Новікова Інна Вячеславівна,1739
Рум’янцева Н. О.,1739
Заічко О.В.,1737
Калитка О.М.,1731
Мельников Р.В.,1727
Шальєва В.А.,1721
Українець В. В.,1720
Мороз Л.Л.,1710
Барильська А. П.,1708
Тацій Л.В.,1708
Чалий І.С.,1703
Чудак О.М.,1694
Костенко В. Г.,1691
Колдіна О. О.,1688
Гулевець О.В.,1679
Шкірай М. І.,1673
Спірідонов М.О.,1669
Бондар Я. М.,1669
Гуцал М.І.,1668
Конишева Олена Василівна,1664
Чудних С.О.,1660
Побережна Н. П.,1656
Мар'єнко Л.М.,1656
Смородінова О.Г.,1652
Літвінова М.Є.,1646
Азізбекян Т.А.,1645
Кушнова А.О.,1639
Єфіменко Н. В.,1634
Малінов О. С.,1633
Калашник Юлія Вікторівна,1631
Бідонько А.В.,1631
Сліденко А.В.,1627
Мороко А.С.,1625
Капинос Оксана Валентинівна,1623
Кордюкова Ж. І.,1614
Дроздова С.С.,1612
Божко Л.А.,1611
Гордієнко Т. О.,1610
Ткачук С. С.,1604
Бабаєв А.І.,1602
Дубас Т. В.,1602
Чуванова А. М.,1599
Бойко О. М.,1597
Шаренко С. Л.,1597
Ясенова Т.І.,1590
Старосєльцева О.В.,1589
Семенчук Н.О.,1587
Хоменко В. С.,1587
Семененко Я.В.,1586
Зубакова В. П.,1586
Шендрик К. Л.,1575
Олейняш Е.М.,1570
Бойченко Юлія Петрівна,1569
Кривич Ж. О.,1568
Шрамко Ю.Т.,1565
Вознюк С. М.,1563
Максименко О. Ю.,1560
Дурасова Ю.В.,1560
Усенко Є.А.,1559
Демиденко Ю. Ю.,1558
Шелест І. М.,1557
Сидоренко І. О.,1556
Друзенко Н.В.,1555
Кошкош О.О.,1555
Чебикіна С.О.,1553
Огурцов О.П.,1550
Франовська К.С.,1548
Зоркіна Ю.В.,1546
Божко В. В.,1546
Шеметенко Л.П.,1545
Шевченко О. В.,1544
Писанець В. А.,1541
Труханович В. В.,1536
Мельник В.В.,1534
Шлай А.В.,1534
Стрельнікова Наталя Вікторівна,1528
Третяк О. Г.,1525
Юрко І.В.,1524
Семенюк Г.В.,1518
Волошин Д.А.,1518
Єпішин Ю. М.,1517
Бояринцева М.А.,1514
Каракашьян С.К.,1511
Михайлик А.С.,1509
Бершов Г.Є.,1506
Мазур Ю. Ю.,1505
Головко О.В.,1505
Наумик О. О.,1503
Грєхова О.А.,1502
Чередніченко Н. П.,1497
Єгупенко В.В.,1496
Зарютін П. В.,1495
Щербаков В.В.,1495
Щаслива О. В.,1492
Жигилій С.П.,1492
Шарапа В.М.,1490
Сидоренко А. П.,1489
Бадюков Ю.В.,1487
Рубан В.В.,1486
Бабій О. М.,1486
Лях О.П.,1485
Бєльченко Л. А.,1484
Бєлік Вікторія Геннадіївна,1482
Пустовіт О. Г.,1482
Петренко Наталія Едуардівна,1481
Малиш Н.І.,1481
Середа Л. В.,1480
Клочкова Н.В.,1478
Турецька І.О.,1476
Назаренко Наталія Григорівна,1474
Маруліна Л.О.,1473
Аканов О.О.,1471
Пінкевич Н. С.,1471
Панна Світлана Павлівна,1466
Мусулевський Я. А.,1465
Чубай В. В.,1463
Мацишин Л. С.,1462
Юзькова О. Л.,1462
Піхур О. В.,1461
Остапчук Т. В.,1461
Борисенко І.І.,1460
Кеся Наталія Борисівна,1458
Качур І.А.,1458
Шевченко О.В.,1457
Абухін Р. Д.,1457
Семенишин О. З.,1450
Устинов І. А.,1449
Коваленко І. В.,1448
Пронька В. В.,1447
Крусян А.В.,1446
Стойка В.В.,1445
Горохов І.С.,1445
Птичкіна В.В.,1444
Медінцева Н. М.,1442
Предоляк О. С.,1441
Виниченко Л. М.,1441
Рудник М. І.,1440
Литовченко О. В.,1439
Добродняк І.Ю.,1439
Гончарова А. О.,1437
Федоріщев С. С.,1436
